,ScientificName,Run,bam,bam_exists,fasta,fasta_exists,bigwig,bigwig_exists
0,Arabidopsis thaliana,DRR244662,/data2/Jack/RDP-Files/bams/bams/DRR244/DRR244662.bam,True,/data2/Jack/RDP-Files/fastas/fastas/DRR244/DRR244662.fa,False,/data2/Jack/RDP-Files/bigwigs/bigwigs/DRR244/DRR244662.bw,False
1,Arabidopsis thaliana,DRR244663,/data2/Jack/RDP-Files/bams/bams/DRR244/DRR244663.bam,True,/data2/Jack/RDP-Files/fastas/fastas/DRR244/DRR244663.fa,False,/data2/Jack/RDP-Files/bigwigs/bigwigs/DRR244/DRR244663.bw,False
2,Arabidopsis thaliana,DRR255640,/data2/Jack/RDP-Files/bams/bams/DRR255/DRR255640.bam,True,/data2/Jack/RDP-Files/fastas/fastas/DRR255/DRR255640.fa,False,/data2/Jack/RDP-Files/bigwigs/bigwigs/DRR255/DRR255640.bw,False
3,Arabidopsis thaliana,DRR255641,/data2/Jack/RDP-Files/bams/bams/DRR255/DRR255641.bam,True,/data2/Jack/RDP-Files/fastas/fastas/DRR255/DRR255641.fa,False,/data2/Jack/RDP-Files/bigwigs/bigwigs/DRR255/DRR255641.bw,False
4,Arabidopsis thaliana,DRR255642,/data2/Jack/RDP-Files/bams/bams/DRR255/DRR255642.bam,True,/data2/Jack/RDP-Files/fastas/fastas/DRR255/DRR255642.fa,False,/data2/Jack/RDP-Files/bigwigs/bigwigs/DRR255/DRR255642.bw,False
5,Arabidopsis thaliana,DRR255643,/data2/Jack/RDP-Files/bams/bams/DRR255/DRR255643.bam,True,/data2/Jack/RDP-Files/fastas/fastas/DRR255/DRR255643.fa,False,/data2/Jack/RDP-Files/bigwigs/bigwigs/DRR255/DRR255643.bw,False
6,Arabidopsis thaliana,DRR255644,/data2/Jack/RDP-Files/bams/bams/DRR255/DRR255644.bam,True,/data2/Jack/RDP-Files/fastas/fastas/DRR255/DRR255644.fa,False,/data2/Jack/RDP-Files/bigwigs/bigwigs/DRR255/DRR255644.bw,False
7,Arabidopsis thaliana,DRR255645,/data2/Jack/RDP-Files/bams/bams/DRR255/DRR255645.bam,True,/data2/Jack/RDP-Files/fastas/fastas/DRR255/DRR255645.fa,False,/data2/Jack/RDP-Files/bigwigs/bigwigs/DRR255/DRR255645.bw,False
8,Arabidopsis thaliana,DRR255646,/data2/Jack/RDP-Files/bams/bams/DRR255/DRR255646.bam,True,/data2/Jack/RDP-Files/fastas/fastas/DRR255/DRR255646.fa,False,/data2/Jack/RDP-Files/bigwigs/bigwigs/DRR255/DRR255646.bw,False
9,Arabidopsis thaliana,DRR255647,/data2/Jack/RDP-Files/bams/bams/DRR255/DRR255647.bam,True,/data2/Jack/RDP-Files/fastas/fastas/DRR255/DRR255647.fa,False,/data2/Jack/RDP-Files/bigwigs/bigwigs/DRR255/DRR255647.bw,False
10,Streptococcus pneumoniae,DRR259147,/data2/Jack/RDP-Files/bams/bams/DRR259/DRR259147.bam,False,/data2/Jack/RDP-Files/fastas/fastas/DRR259/DRR259147.fa,False,/data2/Jack/RDP-Files/bigwigs/bigwigs/DRR259/DRR259147.bw,False
11,Streptococcus pneumoniae,DRR259148,/data2/Jack/RDP-Files/bams/bams/DRR259/DRR259148.bam,False,/data2/Jack/RDP-Files/fastas/fastas/DRR259/DRR259148.fa,False,/data2/Jack/RDP-Files/bigwigs/bigwigs/DRR259/DRR259148.bw,False
12,Streptococcus pneumoniae,DRR259151,/data2/Jack/RDP-Files/bams/bams/DRR259/DRR259151.bam,False,/data2/Jack/RDP-Files/fastas/fastas/DRR259/DRR259151.fa,False,/data2/Jack/RDP-Files/bigwigs/bigwigs/DRR259/DRR259151.bw,False
13,Streptococcus pneumoniae,DRR259152,/data2/Jack/RDP-Files/bams/bams/DRR259/DRR259152.bam,False,/data2/Jack/RDP-Files/fastas/fastas/DRR259/DRR259152.fa,False,/data2/Jack/RDP-Files/bigwigs/bigwigs/DRR259/DRR259152.bw,False
14,Homo sapiens,DRR277023,/data2/Jack/RDP-Files/bams/bams/DRR277/DRR277023.bam,True,/data2/Jack/RDP-Files/fastas/fastas/DRR277/DRR277023.fa,False,/data2/Jack/RDP-Files/bigwigs/bigwigs/DRR277/DRR277023.bw,False
15,Homo sapiens,DRR277024,/data2/Jack/RDP-Files/bams/bams/DRR277/DRR277024.bam,True,/data2/Jack/RDP-Files/fastas/fastas/DRR277/DRR277024.fa,False,/data2/Jack/RDP-Files/bigwigs/bigwigs/DRR277/DRR277024.bw,False
16,Homo sapiens,DRR277025,/data2/Jack/RDP-Files/bams/bams/DRR277/DRR277025.bam,True,/data2/Jack/RDP-Files/fastas/fastas/DRR277/DRR277025.fa,False,/data2/Jack/RDP-Files/bigwigs/bigwigs/DRR277/DRR277025.bw,False
